IDZonaManzana,IDZona,IDManzana,IDComuna
200490-9,50,613,4101
200491-7,50,613,4101
200492-5,50,624,4101
200493-3,50,624,4101
200494-1,50,624,4101
200495-K,50,624,4101
200496-8,50,624,4101
200497-6,50,624,4101
200498-4,50,624,4101
200499-2,50,624,4101
200500-K,50,1386,4101
200501-8,50,1386,4101
200502-6,50,1386,4101
200503-4,50,1386,4101
200504-2,50,1386,4101
200505-0,50,1386,4101
200506-9,50,1386,4101
200507-7,50,1386,4101
200508-5,50,1386,4101
200509-3,50,1386,4101
200510-7,50,1386,4101
200511-5,50,1386,4101
200512-3,50,1415,4101
200513-1,50,1415,4101
200514-K,50,1415,4101
200515-8,50,1415,4101
200516-6,50,1415,4101
200517-4,50,1415,4101
200518-2,50,1415,4101
200519-0,50,1415,4101
200520-4,50,1415,4101
200521-2,50,1415,4101
200522-0,50,1415,4101
200523-9,50,1415,4101
200524-7,50,2127,4101
200525-5,50,2127,4101
200526-3,50,2127,4101
200527-1,50,2127,4101
200528-K,50,2127,4101
200529-8,50,2127,4101
200530-1,50,2127,4101
200531-K,50,2127,4101
200532-8,50,2127,4101
200533-6,50,2127,4101
200534-4,50,2127,4101
200535-2,50,2127,4101
200536-0,50,2127,4101
200537-9,50,2127,4101
200538-7,50,2127,4101
200539-5,50,2127,4101
200540-9,50,2127,4101
200541-7,50,2127,4101
200542-5,50,2127,4101
200543-3,50,2127,4101
200544-1,50,2127,4101
200545-K,51,632,4101
200546-8,51,632,4101
200547-6,51,632,4101
200548-4,51,632,4101
200549-2,51,632,4101
200550-6,51,632,4101
200551-4,51,632,4101
200552-2,51,632,4101
200553-0,51,632,4101
200554-9,51,632,4101
200555-7,51,632,4101
200556-5,51,632,4101
200557-3,51,632,4101
200558-1,51,632,4101
200559-K,51,632,4101
200560-3,51,632,4101
200561-1,51,632,4101
200562-K,51,632,4101
200563-8,51,632,4101
200564-6,51,632,4101
200565-4,51,632,4101
200566-2,51,632,4101
200567-0,51,632,4101
200568-9,51,632,4101
200569-7,51,632,4101
200570-0,51,632,4101
200571-9,51,632,4101
200572-7,51,632,4101
200573-5,51,632,4101
200574-3,51,632,4101
200575-1,51,632,4101
200576-K,51,632,4101
200577-8,51,632,4101
200578-6,51,632,4101
200579-4,51,632,4101
200580-8,51,632,4101
200581-6,51,632,4101
200582-4,51,632,4101
200583-2,51,632,4101
200584-0,51,646,4101
200585-9,51,646,4101
200586-7,51,646,4101
200587-5,51,646,4101
200588-3,51,646,4101
200589-1,51,646,4101
200590-5,51,646,4101
200591-3,51,646,4101
200592-1,51,654,4101
200593-K,51,654,4101
200594-8,51,654,4101
200595-6,51,654,4101
200596-4,51,654,4101
200597-2,51,654,4101
200598-0,51,654,4101
200599-9,51,654,4101
200600-6,51,654,4101
200601-4,51,654,4101
200602-2,51,654,4101
200603-0,51,654,4101
200604-9,51,654,4101
200605-7,51,654,4101
200606-5,51,654,4101
200607-3,51,654,4101
200608-1,51,654,4101
200609-K,51,654,4101
200610-3,51,654,4101
200611-1,51,654,4101
200612-K,51,654,4101
200613-8,51,654,4101
200614-6,51,654,4101
200615-4,51,654,4101
200616-2,51,654,4101
200617-0,51,654,4101
200618-9,51,654,4101
200619-7,51,654,4101
200620-0,51,654,4101
200621-9,51,654,4101
200622-7,51,654,4101
200623-5,51,654,4101
200624-3,51,654,4101
200625-1,51,654,4101
200626-K,51,654,4101
200627-8,51,654,4101
200628-6,51,654,4101
200629-4,51,654,4101
200630-8,51,654,4101
200631-6,51,654,4101
200632-4,51,654,4101
200633-2,51,654,4101
200634-0,51,654,4101
200635-9,51,654,4101
200636-7,51,654,4101
200637-5,51,654,4101
200638-3,51,654,4101
200639-1,51,654,4101
200640-5,51,670,4101
200641-3,51,670,4101
200642-1,51,670,4101
200643-K,51,670,4101
200644-8,51,670,4101
200645-6,51,670,4101
200646-4,51,670,4101
200647-2,51,670,4101
200648-0,51,670,4101
200649-9,51,670,4101
200650-2,51,670,4101
200651-0,51,670,4101
200652-9,51,670,4101
200653-7,51,670,4101
200654-5,51,670,4101
200655-3,51,670,4101
200656-1,51,670,4101
200657-K,51,670,4101
200658-8,51,670,4101
200659-6,51,670,4101
200660-K,51,682,4101
200661-8,51,682,4101
200662-6,51,682,4101
200663-4,51,682,4101
200664-2,51,682,4101
200665-0,51,682,4101
200666-9,51,682,4101
200667-7,51,682,4101
200668-5,51,682,4101
200669-3,51,682,4101
200670-7,51,682,4101
200671-5,51,682,4101
200672-3,51,682,4101
200673-1,51,682,4101
200674-K,51,682,4101
200675-8,51,682,4101
200676-6,51,682,4101
200677-4,51,682,4101
200678-2,51,682,4101
200679-0,51,682,4101
200680-4,51,682,4101
200681-2,51,682,4101
200682-0,51,682,4101
200683-9,51,682,4101
200684-7,51,682,4101
200685-5,51,682,4101
200686-3,51,682,4101
200687-1,51,682,4101
200688-K,51,682,4101
200689-8,51,682,4101
200690-1,51,682,4101
200691-K,51,720,4101
200692-8,51,720,4101
200693-6,51,720,4101
200694-4,51,720,4101
200695-2,51,720,4101
200696-0,51,720,4101
200697-9,51,720,4101
200698-7,51,720,4101
200699-5,51,720,4101
200700-2,51,720,4101
200701-0,51,720,4101
200702-9,51,720,4101
200703-7,51,720,4101
200704-5,51,720,4101
200705-3,51,720,4101
200706-1,51,720,4101
200707-K,51,1455,4101
200708-8,51,1455,4101
200709-6,51,1455,4101
200710-K,51,1455,4101
200711-8,51,1455,4101
200712-6,51,1455,4101
200713-4,51,1455,4101
200714-2,51,1455,4101
200715-0,51,1455,4101
200716-9,51,1455,4101
200717-7,51,1455,4101
200718-5,51,1455,4101
200719-3,51,1455,4101
200720-7,51,1455,4101
200721-5,51,1455,4101
200722-3,51,1455,4101
200723-1,51,1455,4101
200724-K,51,1455,4101
200725-8,52,1393,4101
200726-6,52,1393,4101
200727-4,52,1393,4101
200728-2,52,1393,4101
200729-0,52,1393,4101
200730-4,52,1393,4101
200731-2,52,1393,4101
200732-0,52,1393,4101
200733-9,52,1393,4101
200734-7,52,1393,4101
200735-5,52,1393,4101
200736-3,52,1393,4101
200737-1,52,1393,4101
200738-K,52,1393,4101
200739-8,52,1393,4101
200740-1,52,1393,4101
200741-K,52,1393,4101
200742-8,52,1393,4101
200743-6,52,1393,4101
200744-4,52,1393,4101
200745-2,52,1393,4101
200746-0,52,1393,4101
200747-9,52,1393,4101
200748-7,52,1393,4101
200749-5,52,1393,4101
200750-9,52,1393,4101
200751-7,52,1393,4101
200752-5,52,1393,4101
200753-3,52,1393,4101
200754-1,52,1393,4101
200755-K,52,1393,4101
200756-8,52,1393,4101
200757-6,52,1393,4101
200758-4,52,1393,4101
200759-2,52,1393,4101
200760-6,52,1393,4101
200761-4,52,1393,4101
200762-2,52,1393,4101
200763-0,52,1393,4101
200764-9,52,1393,4101
200765-7,52,1393,4101
200766-5,52,1393,4101
200767-3,52,1393,4101
