IDFolio,Ingreso,Estrato,EstratoAgregado,Imputados
79063022,90000.0,1_BAJO,1_BAJO,0
79063030,410000.0,2_MEDIO,2_MEDIO,0
79063900,625000.0,2_MEDIO,2_MEDIO,0
79063901,325000.0,1_BAJO,1_BAJO,0
79076006,410000.0,2_MEDIO,2_MEDIO,0
79076009,250000.0,1_BAJO,1_BAJO,0
79076011,325000.0,1_BAJO,1_BAJO,0
79076014,250000.0,1_BAJO,1_BAJO,0
79076016,375000.0,2_MEDIO,2_MEDIO,0
79084022,500000.0,2_MEDIO,2_MEDIO,0
79084023,160000.0,1_BAJO,1_BAJO,0
79084024,250000.0,1_BAJO,1_BAJO,0
79084026,320000.0,1_BAJO,1_BAJO,0
79084029,160000.0,1_BAJO,1_BAJO,0
79087022,320000.0,1_BAJO,1_BAJO,0
79087028,375000.0,2_MEDIO,2_MEDIO,0
79087030,500000.0,2_MEDIO,2_MEDIO,0
79087037,160000.0,1_BAJO,1_BAJO,0
79087041,465000.0,2_MEDIO,2_MEDIO,0
79087901,160000.0,1_BAJO,1_BAJO,0
79087902,325000.0,1_BAJO,1_BAJO,0
79087903,500000.0,2_MEDIO,2_MEDIO,0
79125004,900000.0,2_MEDIO,2_MEDIO,0
79125010,250000.0,1_BAJO,1_BAJO,0
79125018,340000.0,1_BAJO,1_BAJO,0
79125020,160000.0,1_BAJO,1_BAJO,0
79125022,450000.0,2_MEDIO,2_MEDIO,0
79132001,650000.0,2_MEDIO,2_MEDIO,0
79132003,160000.0,1_BAJO,1_BAJO,0
79132008,500000.0,2_MEDIO,2_MEDIO,0
79132013,160000.0,1_BAJO,1_BAJO,0
79132014,240000.0,1_BAJO,1_BAJO,1
80009029,150000.0,1_BAJO,1_BAJO,1
80009048,250000.0,1_BAJO,1_BAJO,0
80009072,210000.0,1_BAJO,1_BAJO,1
80009073,250000.0,1_BAJO,1_BAJO,0
80009074,340000.0,1_BAJO,1_BAJO,0
80009900,410000.0,2_MEDIO,2_MEDIO,0
80012001,500000.0,2_MEDIO,2_MEDIO,0
80012003,410000.0,2_MEDIO,2_MEDIO,0
80012004,160000.0,1_BAJO,1_BAJO,0
80012005,250000.0,1_BAJO,1_BAJO,0
80012020,250000.0,1_BAJO,1_BAJO,0
80016005,160000.0,1_BAJO,1_BAJO,0
80016006,90000.0,1_BAJO,1_BAJO,0
80017005,410000.0,2_MEDIO,2_MEDIO,0
80017009,910000.0,2_MEDIO,2_MEDIO,0
80017010,660000.0,2_MEDIO,2_MEDIO,0
81006002,450000.0,2_MEDIO,2_MEDIO,0
81006003,500000.0,2_MEDIO,2_MEDIO,0
81006005,450000.0,2_MEDIO,2_MEDIO,0
81006010,320000.0,1_BAJO,1_BAJO,0
81029007,625000.0,2_MEDIO,2_MEDIO,0
81029011,550000.0,2_MEDIO,2_MEDIO,0
81029021,550000.0,2_MEDIO,2_MEDIO,0
81029023,520000.0,2_MEDIO,2_MEDIO,1
81029024,700000.0,2_MEDIO,2_MEDIO,0
81041009,410000.0,2_MEDIO,2_MEDIO,0
81041013,485000.0,2_MEDIO,2_MEDIO,0
81041015,375000.0,2_MEDIO,2_MEDIO,0
81041042,375000.0,2_MEDIO,2_MEDIO,0
81041045,500000.0,2_MEDIO,2_MEDIO,0
81043015,250000.0,1_BAJO,1_BAJO,0
81043018,465000.0,2_MEDIO,2_MEDIO,0
81043024,325000.0,1_BAJO,1_BAJO,0
81043025,750000.0,2_MEDIO,2_MEDIO,0
81043027,183000.0,1_BAJO,1_BAJO,1
81053005,160000.0,1_BAJO,1_BAJO,0
81053007,325000.0,1_BAJO,1_BAJO,0
81053014,250000.0,1_BAJO,1_BAJO,0
81053021,250000.0,1_BAJO,1_BAJO,0
81053022,520000.0,2_MEDIO,2_MEDIO,1
81084002,910000.0,2_MEDIO,2_MEDIO,0
81084008,410000.0,2_MEDIO,2_MEDIO,0
81084012,660000.0,2_MEDIO,2_MEDIO,0
81084013,250000.0,1_BAJO,1_BAJO,0
81084016,440000.0,2_MEDIO,2_MEDIO,0
81093005,700000.0,2_MEDIO,2_MEDIO,0
81093006,325000.0,1_BAJO,1_BAJO,0
81093011,90000.0,1_BAJO,1_BAJO,0
81093015,410000.0,2_MEDIO,2_MEDIO,0
81093024,410000.0,2_MEDIO,2_MEDIO,0
81093028,640000.0,2_MEDIO,2_MEDIO,0
81093900,300000.0,1_BAJO,1_BAJO,1
81093901,700000.0,2_MEDIO,2_MEDIO,0
81093902,261000.0,1_BAJO,1_BAJO,1
81093903,160000.0,1_BAJO,1_BAJO,0
81097001,4050000.0,3_ALTO,3_ALTO,0
81097002,550000.0,2_MEDIO,2_MEDIO,0
81097003,700000.0,2_MEDIO,2_MEDIO,0
81097004,410000.0,2_MEDIO,2_MEDIO,0
81097006,325000.0,1_BAJO,1_BAJO,0
81097007,325000.0,1_BAJO,1_BAJO,0
81108001,480000.0,2_MEDIO,2_MEDIO,1
81108004,160000.0,1_BAJO,1_BAJO,0
81108006,500000.0,2_MEDIO,2_MEDIO,0
81108008,700000.0,2_MEDIO,2_MEDIO,0
81108017,375000.0,2_MEDIO,2_MEDIO,0
81108019,375000.0,2_MEDIO,2_MEDIO,0
81108031,465000.0,2_MEDIO,2_MEDIO,0
81108032,450000.0,2_MEDIO,2_MEDIO,0
81108037,250000.0,1_BAJO,1_BAJO,0
81108039,575000.0,2_MEDIO,2_MEDIO,0
81108900,250000.0,1_BAJO,1_BAJO,0
81108901,375000.0,2_MEDIO,2_MEDIO,0
81108902,575000.0,2_MEDIO,2_MEDIO,0
81111003,700000.0,2_MEDIO,2_MEDIO,0
81111005,270000.0,1_BAJO,1_BAJO,1
81111006,485000.0,2_MEDIO,2_MEDIO,0
81111010,715000.0,2_MEDIO,2_MEDIO,0
81111014,320000.0,1_BAJO,1_BAJO,0
81111015,410000.0,2_MEDIO,2_MEDIO,0
81121002,375000.0,2_MEDIO,2_MEDIO,0
81121004,270000.0,1_BAJO,1_BAJO,1
81121005,250000.0,1_BAJO,1_BAJO,0
81121007,575000.0,2_MEDIO,2_MEDIO,0
81121014,160000.0,1_BAJO,1_BAJO,0
81126002,340000.0,1_BAJO,1_BAJO,0
81126006,700000.0,2_MEDIO,2_MEDIO,0
81126009,250000.0,1_BAJO,1_BAJO,0
81126021,250000.0,1_BAJO,1_BAJO,0
81126900,325000.0,1_BAJO,1_BAJO,0
81129004,250000.0,1_BAJO,1_BAJO,0
81129006,250000.0,1_BAJO,1_BAJO,0
81129008,375000.0,2_MEDIO,2_MEDIO,0
81129009,410000.0,2_MEDIO,2_MEDIO,0
81129012,250000.0,1_BAJO,1_BAJO,0
81143005,375000.0,2_MEDIO,2_MEDIO,0
81143007,300000.0,1_BAJO,1_BAJO,0
