IDFolio,Factor,DiaEncuesta,DiaEncuestaHogar
500916,22.209929881479297,Miércoles,3
500951,39.52337388638605,Miércoles,3
500959,56.64828071235735,Miércoles,3
500981,22.209929881479297,Miércoles,3
501049,56.64828071235735,Miércoles,3
501055,22.209929881479297,Miércoles,3
501773,27.52376005931139,Jueves,4
501776,47.96371775348965,Jueves,4
501790,41.55988360953953,Jueves,4
502155,42.43613866574628,Jueves,4
502156,21.425099004623142,Jueves,4
502161,21.425099004623142,Jueves,4
502170,42.43613866574628,Jueves,4
502182,30.11563451174941,Jueves,4
502189,44.769539002504786,Jueves,4
502931,69.04860207771857,Martes,2
502941,59.34518998485905,Martes,2
502942,16.259353853317833,Martes,2
503113,57.203828583003556,Jueves,4
503114,23.30389268429253,Jueves,4
503134,23.30389268429253,Jueves,4
503135,28.606587485703052,Jueves,4
503136,32.89340334323082,Jueves,4
503155,45.956187394857494,Martes,2
503156,35.264621491203776,Martes,2
503230,35.264621491203776,Miércoles,3
503232,34.594369900676234,Miércoles,3
503235,28.12730946247961,Miércoles,3
503578,103.038815919611,Jueves,4
503580,19.74660168598448,Jueves,4
503590,42.70325258700456,Martes,2
503609,33.73128970867012,Miércoles,3
503613,33.73128970867012,Miércoles,3
503653,25.57422511136024,Miércoles,3
503658,25.57422511136024,Miércoles,3
503659,33.73128970867012,Miércoles,3
503665,42.70325258700456,Miércoles,3
503678,25.57422511136024,Jueves,4
503679,42.70325258700456,Jueves,4
503684,115.95837451253105,Jueves,4
503725,42.3781031283284,Miércoles,3
503729,25.87121611265347,Miércoles,3
503730,14.663123486745864,Jueves,4
503732,150.6428418960823,Martes,2
503735,25.87121611265347,Martes,2
503989,36.80743242591307,Miércoles,3
503990,45.17541518914567,Miércoles,3
503993,38.9652193696699,Miércoles,3
504130,35.796279967623136,Jueves,4
504431,29.651958700544878,Miércoles,3
507475,37.354868162657816,Jueves,4
507565,51.97858271880556,Miércoles,3
507622,56.458012880939854,Jueves,4
507654,56.458012880939854,Jueves,4
507662,51.97858271880556,Jueves,4
508973,22.188527696617584,Jueves,4
509199,42.10215108431359,Martes,2
509226,48.776170322816746,Miércoles,3
509229,61.73973409183241,Martes,2
509259,72.69141975379598,Miércoles,3
509266,42.10215108431359,Miércoles,3
509300,22.188527696617584,Martes,2
509318,22.188527696617584,Miércoles,3
509445,72.69141975379598,Miércoles,3
509624,48.776170322816746,Jueves,4
509626,50.303490982081215,Jueves,4
509630,50.303490982081215,Miércoles,3
509675,38.014848165531625,Jueves,4
509681,110.67637363793804,Martes,2
509746,29.188999603695578,Jueves,4
509759,24.79543698600265,Miércoles,3
509760,29.188999603695578,Miércoles,3
509761,60.597602164613,Martes,2
509799,24.79543698600265,Jueves,4
509801,24.79543698600265,Jueves,4
509805,66.47234248184746,Jueves,4
509984,24.79543698600265,Martes,2
509985,29.188999603695578,Martes,2
509995,24.79543698600265,Jueves,4
510097,47.00618436821126,Miércoles,3
510195,30.73847029534615,Jueves,4
510410,33.992435177382404,Jueves,4
510454,30.941191685675605,Miércoles,3
510644,46.74244670672864,Jueves,4
511268,39.47106210735642,Jueves,4
511414,23.733514656498823,Martes,2
511563,32.742692430234264,Jueves,4
511566,83.20583147467363,Jueves,4
511587,83.20583147467363,Jueves,4
511591,32.742692430234264,Jueves,4
512081,40.740649799560316,Jueves,4
512216,23.733514656498823,Martes,2
514707,28.535135396980486,Martes,2
514726,28.535135396980486,Miércoles,3
514737,25.707941132440034,Miércoles,3
514740,25.707941132440034,Miércoles,3
514742,28.535135396980486,Miércoles,3
514750,25.707941132440034,Miércoles,3
514770,51.75032704981776,Miércoles,3
515025,88.95129502928995,Jueves,4
515043,40.94690913382937,Jueves,4
516985,26.428532559524683,Jueves,4
516993,31.372275641302476,Jueves,4
518242,39.715084539973475,Jueves,4
518250,33.765546455139216,Jueves,4
518255,33.765546455139216,Miércoles,3
518264,38.055462319554636,Miércoles,3
518647,39.715084539973475,Martes,2
518652,39.715084539973475,Martes,2
518653,71.76824598163579,Martes,2
518880,54.376289818535746,Martes,2
518899,31.720469599585535,Jueves,4
518904,29.02546536776762,Miércoles,3
518919,34.44891103698015,Jueves,4
518926,31.720469599585535,Martes,2
518927,31.720469599585535,Martes,2
518954,63.61002617345468,Martes,2
519176,55.15207421415311,Martes,2
519278,31.720469599585535,Martes,2
519484,29.02546536776762,Martes,2
519489,34.44891103698015,Martes,2
519561,29.02546536776762,Miércoles,3
519599,140.13113472049412,Martes,2
519765,101.75784965868273,Martes,2
519795,34.44891103698015,Martes,2
520602,55.15207421415311,Martes,2
520945,34.44891103698015,Martes,2
521013,29.02546536776762,Martes,2
521019,29.02546536776762,Martes,2
521029,29.02546536776762,Miércoles,3
522301,29.02546536776762,Martes,2
522306,55.15207421415311,Martes,2
522317,29.02546536776762,Martes,2
522471,31.720469599585535,Jueves,4
524345,40.23238097518763,Martes,2
524421,38.169945420876815,Martes,2
524479,40.81904557102789,Martes,2
524480,40.23238097518763,Martes,2
524482,40.23238097518763,Martes,2
524490,38.169945420876815,Martes,2
524613,65.15043788280086,Miércoles,3
524614,32.95113733039413,Martes,2
524635,40.81904557102789,Miércoles,3
524779,40.81904557102789,Miércoles,3
524942,38.169945420876815,Miércoles,3
524962,40.23238097518763,Miércoles,3
524968,32.95113733039413,Miércoles,3
525206,40.23238097518763,Miércoles,3
525208,38.169945420876815,Miércoles,3
525307,40.23238097518763,Martes,2
525308,38.27323180430261,Martes,2
525500,38.27323180430261,Martes,2
525519,38.169945420876815,Miércoles,3
525692,38.169945420876815,Jueves,4
525731,38.169945420876815,Martes,2
525733,38.169945420876815,Martes,2
525741,40.23238097518763,Martes,2
526156,40.23238097518763,Martes,2
526171,38.27323180430261,Martes,2
526172,38.27323180430261,Martes,2
526264,40.81904557102789,Martes,2
526271,32.95113733039413,Martes,2
526356,26.808741698541326,Martes,2
526361,54.702347405444314,Martes,2
526363,55.65831357569154,Martes,2
526411,26.808741698541326,Martes,2
526412,55.65831357569154,Martes,2
526422,44.04653572280536,Martes,2
526430,63.091330648753434,Martes,2
526440,44.04653572280536,Martes,2
526444,44.04653572280536,Martes,2
526450,63.091330648753434,Martes,2
526505,26.808741698541326,Miércoles,3
526530,26.808741698541326,Martes,2
526549,55.65831357569154,Miércoles,3
526550,26.808741698541326,Miércoles,3
526593,44.04653572280536,Miércoles,3
526601,55.65831357569154,Miércoles,3
526623,26.808741698541326,Miércoles,3
526635,54.702347405444314,Miércoles,3
526670,26.161992237386407,Martes,2
526671,33.33608750340356,Miércoles,3
526677,95.82909641727764,Miércoles,3
526678,47.39790257127969,Miércoles,3
526720,26.161992237386407,Martes,2
526725,47.39790257127969,Martes,2
526736,33.33608750340356,Martes,2
526739,26.161992237386407,Martes,2
526744,33.33608750340356,Martes,2
526754,33.33608750340356,Martes,2
526761,33.33608750340356,Martes,2
526765,54.31340638457907,Martes,2
526803,26.161992237386407,Martes,2
526822,33.33608750340356,Martes,2
