IDFolio,IDPersona,AgnoNacimiento,IDSexo,IDRelacionJefeHogar,IDEstudios,IDLugarEstudios,IDTituloProfesional,IDActividad,IDJornadaTrabajo,Ingreso,IDTipoIngreso,Observaciones,EfectuaViajes,NumeroViajes,Factor
607212,3,1988,1,2,6,6,0,14,0,0,2,0,1,2,24.78667717408111
607212,4,1989,2,2,5,-1,0,4,1,350000,1,1,1,2,19.442089454842453
607220,1,1953,1,0,4,-1,0,4,1,500000,1,1,0,0,27.1004501414113
607220,2,1945,2,1,4,-1,0,11,0,0,2,0,1,2,11.778610673582518
607220,3,1980,2,2,4,-1,0,4,1,300000,1,1,1,3,44.17167845999627
607220,4,2005,2,3,2,3,0,14,0,0,2,0,1,2,53.06960801304233
607224,1,1962,2,0,4,-1,0,4,1,500000,1,1,1,2,32.09060976873805
607224,2,1981,1,2,5,-1,1,4,1,250000,1,1,1,2,38.624237863252986
607224,3,1966,1,3,4,-1,0,4,1,350000,1,1,1,2,38.4092023151581
607244,1,1941,1,0,3,-1,0,9,0,190000,1,1,0,0,15.074766382568026
607244,2,1982,1,2,6,6,0,14,0,0,2,0,1,2,39.24871780488077
607244,3,1983,1,2,6,6,0,14,0,0,2,0,1,2,39.24871780488077
607244,4,1938,1,3,3,-1,0,9,0,220000,1,1,0,0,15.074766382568026
607248,1,1967,1,0,3,-1,0,3,2,400000,1,1,1,4,38.4092023151581
607248,2,1988,1,3,4,-1,0,4,1,450000,1,1,1,2,24.39230039999724
607248,3,1938,2,3,4,-1,0,11,0,90000,1,1,0,0,11.591203122017086
607260,1,1943,1,0,3,-1,0,9,0,300000,1,1,1,2,10.894549030577855
607260,2,1951,2,1,3,-1,0,11,0,0,2,0,0,0,22.41300949149573
607260,3,1972,2,2,4,-1,0,12,0,0,2,0,1,6,31.922917047777844
607260,4,1975,2,2,4,-1,0,12,0,0,2,0,1,4,31.922917047777844
607260,5,2005,2,3,2,3,0,14,0,0,2,0,1,2,38.35345980553394
607260,6,2007,1,3,2,2,0,14,0,0,2,0,1,2,78.60455470828612
607260,7,1997,2,3,4,4,0,14,0,0,2,0,1,2,229.5548399217593
607266,1,1945,1,0,4,-1,0,9,0,200000,1,1,0,0,32.26138294599589
607266,2,1946,2,1,4,-1,0,11,0,0,2,1,0,0,25.20730735513444
607296,1,1942,1,0,7,-1,1,9,0,290000,1,0,1,1,32.26138294599589
607296,2,1946,2,1,4,-1,0,9,0,90000,1,1,1,2,25.20730735513444
607306,1,1957,2,0,4,-1,0,11,0,0,2,0,1,3,32.60945345922412
607306,2,1955,1,1,4,-1,0,3,1,1200000,1,0,1,4,27.1004501414113
607306,3,1980,1,2,7,-1,1,4,1,826000,1,0,1,4,39.24871780488077
607306,4,1989,1,2,7,-1,1,4,1,280000,1,1,1,7,24.78667717408111
607310,1,1924,1,0,1,-1,0,9,0,180000,1,0,1,2,32.26138294599589
607310,2,1936,2,1,3,-1,0,9,0,90000,1,1,0,0,25.20730735513444
607311,1,1956,1,0,4,-1,0,4,1,220000,1,1,1,8,132.20533951063254
607311,2,1967,2,1,4,-1,0,11,0,0,2,1,0,0,110.45660164374004
607311,3,1988,1,2,4,-1,0,4,1,180000,1,0,1,2,83.95884739721129
607311,4,1990,2,2,6,6,0,14,0,0,2,0,1,2,65.85535488108694
607311,5,1997,1,2,3,4,0,14,0,0,2,0,1,2,137.17648021153428
607311,6,2009,2,2,1,-1,0,13,0,0,2,1,0,0,49.018856529202004
607335,1,1946,1,0,4,-1,0,9,0,250000,1,1,0,0,94.14105725074008
607335,2,1946,2,1,3,-1,0,11,0,0,2,1,0,0,73.55675262988812
607335,3,1991,1,2,4,-1,0,4,1,450000,1,1,1,4,154.79138685685385
607335,4,1988,2,3,4,-1,0,12,1,0,2,0,1,6,121.4147410310008
607335,5,2007,2,3,2,2,0,14,0,0,2,0,1,2,90.37399892348152
607353,1,1952,1,0,4,-1,0,9,0,200000,1,1,0,0,57.997449368896945
607353,2,1957,2,1,4,-1,0,3,1,300000,1,1,0,0,69.78722183875361
607380,1,1948,1,0,4,-1,0,3,1,400000,1,0,1,3,26.66925930336841
607380,2,1965,2,1,4,-1,0,11,0,0,2,0,1,4,32.09060976873805
607380,3,1994,1,2,4,4,0,14,0,0,2,0,1,4,39.85345221932097
607387,1,1930,2,0,3,-1,0,9,0,200000,1,1,0,0,73.55675262988812
607387,2,1961,2,2,4,-1,0,11,0,0,2,1,1,6,203.64417909454846
607387,3,1983,1,3,4,-1,0,4,1,200000,1,0,1,2,245.1060066947441
607387,4,1993,2,3,4,-1,0,4,1,180000,1,0,1,2,121.4147410310008
607387,5,2010,2,3,1,1,0,14,0,0,2,1,1,4,90.37399892348152
607404,1,1981,1,0,5,-1,1,4,1,1000000,1,0,1,3,39.24871780488077
607404,2,1977,2,1,4,-1,0,11,0,0,2,0,1,4,44.17167845999627
607404,3,2003,2,2,3,4,0,14,0,0,2,0,1,2,53.06960801304233
607404,4,2006,2,2,2,3,0,14,0,0,2,0,1,2,14.47154897784227
607445,1,1965,2,0,4,-1,0,11,0,180000,1,1,1,2,23.56688525420077
607445,2,1986,2,2,4,-1,0,12,0,40000,1,1,1,7,31.922917047777844
607445,3,1993,1,2,4,-1,0,13,0,0,2,0,1,2,17.913356859075233
607445,4,1994,1,2,3,4,0,14,0,0,2,1,0,0,29.267805822483282
607445,5,1998,2,2,3,4,0,14,0,0,2,0,1,2,38.35345980553394
607445,6,2005,2,3,2,3,0,14,0,0,2,0,1,2,38.35345980553394
607445,7,2010,2,3,1,2,0,14,0,0,2,0,1,3,10.458603197315586
607451,1,1986,1,0,4,-1,0,4,1,450000,1,1,0,0,38.624237863252986
607451,2,1990,2,1,4,-1,0,11,0,0,2,0,1,2,19.132749543453745
607451,3,2010,2,2,1,-1,0,13,0,0,2,1,0,0,14.241294524540795
607461,1,1956,1,0,4,-1,0,3,1,200000,1,1,1,4,28.20716933052873
